Call Open Interest,Call Volume,Call Theta,Call Vega,Call Gamma,Call Delta,Call Ask,Strike,Put Ask,Put Delta,Put Gamma,Put Vega,Put Theta,Put Volume,Put Open Interest
2877,46,-2.54,1.617,0.496,32,15.25,3990,50.5,66,0.473,1.636,-2.619,1,119
1359,4,-2.344,1.56,0.482,30,13.5,3995,54.0,68,0.458,1.59,-2.45,13,91
14963,336,-2.159,1.499,0.465,27,12.0,4000,57.75,71,0.44,1.542,-2.295,11,1049
879,7,-1.99,1.436,0.445,25,10.75,4005,62.0,72,0.418,1.5,-2.173,17,37
2819,176,-5.297,1.558,0.381,70,64.0,3910,15.0,28,0.404,1.523,-5.393,34,2761
1259,2,-5.181,1.596,0.398,68,60.0,3915,16.0,30,0.422,1.566,-5.269,9,672
2754,3,-5.059,1.631,0.415,66,56.0,3920,17.25,32,0.439,1.61,-5.13,19,1987
2651,1172,-4.931,1.664,0.434,65,52.0,3925,18.75,34,0.454,1.652,-4.978,128,1741
3682,5,-4.789,1.696,0.451,63,48.25,3930,20.0,36,0.472,1.687,-4.829,29,924
1421,4,-4.466,1.751,0.472,58,41.82,3935,23.78,41,0.492,1.748,-4.486,3,634
2844,4,-4.661,1.72,0.484,61,43.45,3940,21.23,38,0.492,1.718,-4.673,78,1330
1023,16,-4.314,1.769,0.508,56,37.0,3945,25.0,43,0.513,1.768,-4.317,8,321
11135,143,-4.131,1.783,0.522,54,33.75,3950,27.0,46,0.522,1.783,-4.131,433,2493
1024,11,-3.94,1.791,0.527,51,31.0,3955,29.25,48,0.527,1.791,-3.94,6,306
2194,51,-3.744,1.791,0.532,48,28.25,3960,31.5,51,0.532,1.791,-3.744,5,347
854,1,-3.546,1.783,0.533,46,25.75,3965,34.0,54,0.532,1.783,-3.547,6,265
3170,9,-3.344,1.766,0.533,43,23.25,3970,36.5,56,0.533,1.766,-3.345,28,594
5036,8,-3.142,1.741,0.529,40,21.0,3975,40.25,59,0.512,1.745,-3.172,9,159
3659,18,-2.945,1.709,0.521,37,19.0,3980,43.5,61,0.5,1.716,-2.991,1,517
2372,2,-2.743,1.667,0.512,35,17.0,3985,46.75,64,0.488,1.681,-2.811,3,19
2877,46,-2.55,1.62,0.499,32,15.25,3990,50.25,66,0.473,1.641,-2.641,1,119
1359,4,-2.353,1.563,0.486,30,13.5,3995,54.0,68,0.455,1.6,-2.485,13,91
14963,336,-2.168,1.502,0.469,27,12.0,4000,57.75,70,0.438,1.553,-2.332,11,1049
879,7,-1.998,1.439,0.448,25,10.75,4005,62.0,72,0.416,1.512,-2.211,17,37
2819,176,-5.283,1.563,0.381,70,64.0,3910,15.25,28,0.402,1.528,-5.378,34,2761
1259,2,-5.168,1.6,0.397,68,60.0,3915,16.25,30,0.421,1.571,-5.254,9,672
2754,3,-5.047,1.635,0.414,66,56.0,3920,17.5,32,0.438,1.614,-5.116,19,1987
2651,1172,-4.926,1.665,0.436,65,51.75,3925,18.75,34,0.455,1.653,-4.972,128,1741
3682,5,-4.777,1.699,0.449,62,48.25,3930,20.25,36,0.47,1.69,-4.816,29,924
1421,4,-4.462,1.752,0.478,58,41.32,3935,23.79,41,0.494,1.749,-4.478,3,634
2844,4,-4.655,1.721,0.486,61,43.2,3940,21.47,38,0.49,1.72,-4.661,78,1330
1023,16,-4.305,1.769,0.51,56,36.75,3945,25.25,43,0.511,1.769,-4.306,9,321
11135,143,-4.12,1.784,0.52,53,33.75,3950,27.25,46,0.52,1.784,-4.12,435,2493
1024,11,-3.929,1.791,0.529,51,30.75,3955,29.5,48,0.525,1.791,-3.93,6,306
2194,51,-3.733,1.79,0.534,48,28.0,3960,31.75,51,0.53,1.79,-3.735,5,347
854,1,-3.534,1.782,0.535,45,25.5,3965,34.25,54,0.53,1.782,-3.538,6,265
3170,46,-3.336,1.765,0.531,43,23.25,3970,37.0,56,0.526,1.766,-3.343,28,594
5036,8,-3.135,1.74,0.527,40,21.0,3975,40.5,59,0.51,1.744,-3.166,9,159
3659,18,-2.938,1.707,0.519,37,19.0,3980,43.75,61,0.498,1.715,-2.985,1,517
2372,2,-2.738,1.666,0.51,35,17.0,3985,46.75,64,0.49,1.677,-2.795,3,19
2877,46,-2.545,1.618,0.498,32,15.25,3990,50.5,66,0.471,1.64,-2.636,1,119
1359,4,-2.348,1.561,0.484,30,13.5,3995,54.0,68,0.457,1.594,-2.468,13,91
14963,336,-2.163,1.5,0.467,27,12.0,4000,57.75,70,0.439,1.547,-2.313,11,1049
879,7,-1.994,1.437,0.447,25,10.75,4005,62.0,72,0.417,1.506,-2.192,17,37
2819,176,-5.283,1.562,0.381,70,64.0,3910,15.0,28,0.405,1.524,-5.389,34,2761
1259,2,-5.168,1.599,0.397,68,60.0,3915,16.25,30,0.421,1.571,-5.254,9,672
2754,3,-5.047,1.634,0.414,66,56.0,3920,17.5,32,0.438,1.614,-5.116,19,1987
2651,1172,-4.926,1.665,0.436,65,51.75,3925,18.75,34,0.455,1.653,-4.972,128,1741
3682,5,-4.777,1.698,0.449,62,48.25,3930,20.25,36,0.47,1.689,-4.816,29,924
1421,4,-4.462,1.751,0.478,58,41.32,3935,23.79,41,0.494,1.749,-4.478,3,634
2844,4,-4.655,1.721,0.486,61,43.2,3940,21.47,38,0.49,1.72,-4.661,78,1330
1023,16,-4.305,1.769,0.51,56,36.75,3945,25.25,43,0.511,1.769,-4.306,9,321
11135,143,-4.12,1.783,0.52,53,33.75,3950,27.25,46,0.52,1.783,-4.12,435,2493
1024,11,-3.93,1.791,0.525,51,31.0,3955,29.5,48,0.525,1.791,-3.93,6,306
2194,51,-3.735,1.79,0.53,48,28.25,3960,31.75,51,0.53,1.79,-3.735,5,347
854,1,-3.538,1.782,0.53,45,25.75,3965,34.25,54,0.53,1.782,-3.538,6,265
3170,46,-3.336,1.765,0.531,43,23.25,3970,37.0,56,0.526,1.766,-3.343,28,594
5036,8,-3.135,1.74,0.527,40,21.0,3975,40.75,59,0.506,1.745,-3.173,9,159
3659,18,-2.938,1.707,0.519,37,19.0,3980,43.75,61,0.498,1.715,-2.985,1,517
2372,2,-2.738,1.666,0.51,35,17.0,3985,47.0,64,0.486,1.679,-2.805,3,19
2877,46,-2.545,1.618,0.498,32,15.25,3990,50.5,66,0.471,1.64,-2.636,1,119
1359,4,-2.348,1.561,0.484,30,13.5,3995,54.0,68,0.457,1.594,-2.468,13,91
14963,336,-2.163,1.5,0.467,27,12.0,4000,57.75,70,0.439,1.547,-2.313,11,1049
879,7,-1.994,1.437,0.447,25,10.75,4005,62.0,72,0.417,1.506,-2.192,17,37
2819,176,-5.283,1.562,0.381,70,64.0,3910,15.25,28,0.402,1.528,-5.378,34,2761
1259,2,-5.168,1.599,0.397,68,60.0,3915,16.25,30,0.421,1.571,-5.254,9,672
2754,3,-5.047,1.634,0.414,66,56.0,3920,17.5,32,0.438,1.614,-5.116,19,1987
2651,1172,-4.926,1.665,0.436,65,51.75,3925,19.0,34,0.452,1.655,-4.965,128,1741
3682,5,-4.777,1.698,0.449,62,48.25,3930,20.25,36,0.47,1.689,-4.816,29,924
1421,4,-4.462,1.751,0.478,58,41.32,3935,24.04,41,0.49,1.749,-4.474,3,634
2844,4,-4.655,1.721,0.486,61,43.2,3940,21.47,38,0.49,1.72,-4.661,78,1330
1023,16,-4.305,1.769,0.51,56,36.75,3945,25.5,43,0.507,1.769,-4.303,9,321
11135,143,-4.12,1.783,0.52,53,33.75,3950,27.25,46,0.52,1.783,-4.12,435,2493
1024,11,-3.93,1.791,0.525,51,31.0,3955,29.5,48,0.525,1.791,-3.93,6,306
2194,51,-3.735,1.79,0.53,48,28.25,3960,31.75,51,0.53,1.79,-3.735,5,347
854,1,-3.534,1.781,0.535,45,25.5,3965,34.25,54,0.53,1.782,-3.538,6,265
3170,46,-3.336,1.765,0.531,43,23.25,3970,37.0,56,0.526,1.765,-3.343,28,594
5036,8,-3.135,1.74,0.527,40,21.0,3975,40.75,59,0.506,1.744,-3.173,9,159
3659,18,-2.938,1.707,0.519,37,19.0,3980,43.75,61,0.498,1.715,-2.985,1,517
2372,2,-2.738,1.666,0.51,35,17.0,3985,47.0,64,0.486,1.679,-2.805,3,19
2877,47,-2.545,1.618,0.498,32,15.25,3990,50.5,66,0.471,1.64,-2.636,1,119
1359,4,-2.348,1.561,0.484,30,13.5,3995,54.0,68,0.457,1.594,-2.468,13,91
14963,336,-2.163,1.5,0.467,27,12.0,4000,57.75,70,0.439,1.547,-2.313,11,1049
879,7,-1.994,1.437,0.447,25,10.75,4005,62.0,72,0.417,1.506,-2.192,17,37
2819,176,-5.262,1.569,0.382,69,63.5,3910,15.25,28,0.407,1.532,-5.365,34,2761
1259,2,-5.146,1.605,0.398,68,59.5,3915,16.5,30,0.423,1.578,-5.23,9,672
2754,3,-5.016,1.642,0.413,66,55.75,3920,17.75,32,0.44,1.62,-5.092,19,1987
2651,1172,-4.902,1.67,0.437,64,51.25,3925,19.0,34,0.457,1.658,-4.948,128,1741
3682,5,-4.753,1.703,0.451,62,47.75,3930,20.5,37,0.472,1.694,-4.791,29,924
1421,4,-4.433,1.755,0.476,58,41.09,3935,24.06,41,0.495,1.752,-4.451,3,634
2844,4,-4.619,1.727,0.481,60,43.18,3940,21.7,39,0.492,1.724,-4.635,78,1330
1023,16,-4.275,1.771,0.508,56,36.5,3945,25.75,44,0.509,1.771,-4.275,9,321
11135,144,-4.091,1.784,0.518,53,33.5,3950,27.75,46,0.518,1.784,-4.091,435,2493
1024,11,-3.901,1.791,0.523,50,30.75,3955,29.75,49,0.527,1.791,-3.9,6,306
2194,51,-3.706,1.789,0.528,48,28.0,3960,32.0,52,0.532,1.789,-3.704,5,347
854,1,-3.51,1.779,0.528,45,25.5,3965,34.5,54,0.532,1.779,-3.506,6,265
3170,46,-3.308,1.761,0.529,42,23.0,3970,37.25,57,0.528,1.761,-3.309,28,594
5036,8,-3.107,1.735,0.525,40,20.75,3975,40.75,59,0.512,1.738,-3.131,9,159
3659,18,-2.91,1.701,0.517,37,18.75,3980,43.75,62,0.504,1.706,-2.94,1,517
2372,2,-2.709,1.659,0.508,34,16.75,3985,47.0,64,0.492,1.669,-2.757,3,19
2877,51,-2.516,1.61,0.495,32,15.0,3990,50.5,67,0.476,1.627,-2.585,1,119
1359,4,-2.334,1.556,0.479,29,13.5,3995,54.0,69,0.461,1.579,-2.413,13,91
14963,336,-2.151,1.495,0.462,27,12.0,4000,57.75,71,0.443,1.529,-2.256,11,1049
879,7,-1.983,1.432,0.442,25,10.75,4005,62.0,73,0.42,1.485,-2.133,17,37
2819,176,-5.262,1.569,0.382,69,63.5,3910,15.25,28,0.407,1.532,-5.365,34,2761
1259,2,-5.146,1.605,0.398,68,59.5,3915,16.5,30,0.423,1.578,-5.23,9,672
2754,3,-5.024,1.64,0.416,66,55.5,3920,17.75,32,0.44,1.62,-5.092,19,1987
2651,1172,-4.895,1.672,0.434,64,51.5,3925,19.0,34,0.457,1.658,-4.948,128,1741
3682,5,-4.753,1.702,0.451,62,47.75,3930,20.5,37,0.472,1.694,-4.791,29,924
1421,4,-4.433,1.754,0.476,58,41.09,3935,24.06,41,0.495,1.752,-4.451,3,634
2844,4,-4.614,1.728,0.477,60,43.42,3940,21.7,39,0.492,1.724,-4.635,78,1330
1023,16,-4.275,1.771,0.508,56,36.5,3945,25.5,44,0.513,1.771,-4.278,9,321
11135,144,-4.091,1.784,0.518,53,33.5,3950,27.5,46,0.522,1.784,-4.091,435,2493
1024,11,-3.901,1.79,0.523,50,30.75,3955,29.75,49,0.527,1.79,-3.9,6,306
2194,51,-3.706,1.789,0.528,48,28.0,3960,32.0,52,0.532,1.789,-3.704,5,347
854,1,-3.51,1.779,0.528,45,25.5,3965,34.5,54,0.532,1.779,-3.506,6,265
3170,46,-3.314,1.762,0.525,42,23.25,3970,37.25,57,0.528,1.761,-3.309,28,594
5036,8,-3.114,1.736,0.521,40,21.0,3975,41.0,59,0.508,1.739,-3.138,9,159
3659,18,-2.91,1.701,0.517,37,18.75,3980,44.0,62,0.5,1.708,-2.949,1,517
2372,2,-2.72,1.661,0.504,34,17.0,3985,47.25,64,0.488,1.671,-2.768,3,19
2877,51,-2.516,1.609,0.495,32,15.0,3990,51.0,66,0.469,1.632,-2.609,1,119
1359,4,-2.334,1.556,0.479,29,13.5,3995,54.5,69,0.455,1.586,-2.44,13,91
14963,336,-2.151,1.495,0.462,27,12.0,4000,58.25,71,0.437,1.538,-2.286,11,1049
879,7,-1.983,1.432,0.442,25,10.75,4005,62.5,72,0.415,1.496,-2.165,17,37
2819,176,-5.249,1.573,0.381,69,63.5,3910,15.25,28,0.408,1.533,-5.361,34,2761
1259,2,-5.133,1.609,0.397,67,59.5,3915,16.5,30,0.424,1.579,-5.226,9,672
2754,3,-5.011,1.643,0.415,66,55.5,3920,17.75,32,0.441,1.621,-5.086,19,1987
2651,1172,-4.89,1.673,0.436,64,51.25,3925,19.0,34,0.459,1.659,-4.942,128,1741
3682,5,-4.741,1.705,0.45,62,47.75,3930,20.5,37,0.474,1.695,-4.784,29,924
1421,4,-4.422,1.755,0.474,58,41.09,3935,24.06,41,0.497,1.752,-4.444,3,634
2844,4,-4.602,1.729,0.476,60,43.41,3940,21.69,39,0.494,1.724,-4.628,78,1330
1023,16,-4.264,1.772,0.506,55,36.5,3945,25.75,44,0.511,1.772,-4.267,9,321
11135,144,-4.081,1.785,0.515,53,33.5,3950,27.75,46,0.52,1.784,-4.081,435,2493
1024,11,-3.891,1.79,0.525,50,30.5,3955,29.75,49,0.529,1.79,-3.89,6,306
2194,51,-3.695,1.788,0.53,48,27.75,3960,32.25,52,0.53,1.788,-3.695,5,347
854,1,-3.497,1.778,0.531,45,25.25,3965,34.75,54,0.53,1.778,-3.498,6,265
3170,46,-3.3,1.76,0.527,42,23.0,3970,37.5,57,0.526,1.76,-3.301,28,594
5036,8,-3.1,1.734,0.523,40,20.75,3975,41.0,59,0.51,1.737,-3.124,9,159
3659,18,-2.903,1.7,0.515,37,18.75,3980,44.0,62,0.502,1.705,-2.934,1,517
2372,2,-2.703,1.657,0.506,34,16.75,3985,47.25,64,0.49,1.667,-2.751,3,19
2877,51,-2.511,1.608,0.493,32,15.0,3990,51.0,67,0.471,1.628,-2.592,1,119
1359,4,-2.33,1.554,0.477,29,13.5,3995,54.5,69,0.456,1.581,-2.422,13,91
14963,336,-2.147,1.493,0.46,27,12.0,4000,58.25,71,0.438,1.532,-2.267,11,1049
879,7,-1.979,1.43,0.44,25,10.75,4005,62.5,72,0.416,1.489,-2.146,17,37
2819,176,-5.275,1.564,0.383,70,63.5,3910,15.25,28,0.405,1.530,-5.369,34,2761
1259,2,-5.159,1.601,0.4,68,59.5,3915,16.5,30,0.421,1.576,-5.235,9,672
2754,3,-5.036,1.636,0.417,66,55.5,3920,17.75,32,0.438,1.618,-5.097,19,1987
2651,1172,-4.908,1.669,0.436,64,51.5,3925,19.0,34,0.455,1.657,-4.953,128,1741
3682,5,-4.765,1.7,0.453,62,47.75,3930,20.5,36,0.47,1.693,-4.797,29,924
1421,4,-4.444,1.753,0.478,58,41.08,3935,24.05,41,0.493,1.75,-4.459,3,634
2844,4,-4.626,1.725,0.479,60,43.43,3940,21.7,39,0.49,1.722,-4.642,78,1330
1023,16,-4.286,1.77,0.51,56,36.5,3945,25.75,44,0.507,1.77,-4.284,9,321
11135,144,-4.101,1.784,0.52,53,33.5,3950,27.75,46,0.516,1.784,-4.1,435,2493
1024,11,-3.91,1.79,0.529,51,30.5,3955,29.75,49,0.525,1.79,-3.91,6,306
2194,51,-3.713,1.789,0.534,48,27.75,3960,32.0,51,0.53,1.789,-3.715,5,347
854,1,-3.514,1.779,0.535,45,25.25,3965,34.5,54,0.53,1.78,-3.518,6,265
3170,47,-3.315,1.762,0.531,42,23.0,3970,37.25,57,0.526,1.762,-3.322,28,594
5036,8,-3.114,1.736,0.527,40,20.75,3975,41.0,59,0.506,1.741,-3.152,9,159
3659,18,-2.916,1.702,0.519,37,18.75,3980,44.0,62,0.498,1.71,-2.964,1,517
2372,2,-2.715,1.66,0.51,34,16.75,3985,47.25,64,0.486,1.674,-2.784,3,19
2877,51,-2.521,1.611,0.497,32,15.0,3990,51.0,66,0.468,1.636,-2.626,1,119
1359,4,-2.339,1.557,0.48,29,13.5,3995,54.5,68,0.453,1.591,-2.458,13,91
14963,336,-2.155,1.496,0.464,27,12.0,4000,58.25,70,0.436,1.544,-2.305,11,1049
879,7,-1.987,1.433,0.443,25,10.75,4005,62.5,72,0.414,1.502,-2.185,17,37
2819,176,-5.275,1.564,0.383,70,63.5,3910,15.25,28,0.405,1.530,-5.369,34,2761
1259,2,-5.159,1.601,0.4,68,59.5,3915,16.5,30,0.421,1.576,-5.235,9,672
2754,3,-5.036,1.636,0.417,66,55.5,3920,17.5,32,0.441,1.616,-5.106,19,1987
2651,1172,-4.908,1.668,0.436,64,51.5,3925,19.0,34,0.455,1.656,-4.953,128,1741
3682,5,-4.759,1.701,0.45,62,48.0,3930,20.5,36,0.47,1.692,-4.797,29,924
1421,4,-4.44,1.753,0.474,58,41.33,3935,24.05,41,0.493,1.75,-4.459,3,634
2844,4,-4.621,1.726,0.475,60,43.68,3940,21.7,39,0.49,1.722,-4.642,78,1330
1023,16,-4.284,1.77,0.506,56,36.75,3945,25.5,44,0.511,1.77,-4.286,9,321
11135,144,-4.1,1.784,0.515,53,33.75,3950,27.5,46,0.52,1.783,-4.101,437,2493
1024,11,-3.91,1.79,0.525,51,30.75,3955,29.75,49,0.525,1.79,-3.91,6,306
2194,51,-3.715,1.789,0.53,48,28.0,3960,32.0,51,0.53,1.789,-3.715,5,347
854,1,-3.518,1.779,0.531,45,25.5,3965,34.5,54,0.53,1.779,-3.518,6,265
3170,47,-3.321,1.762,0.527,43,23.25,3970,37.0,57,0.531,1.762,-3.316,28,594
5036,8,-3.121,1.737,0.523,40,21.0,3975,41.0,59,0.506,1.741,-3.152,9,159
3659,18,-2.916,1.702,0.519,37,18.75,3980,43.75,62,0.502,1.709,-2.955,1,517
2372,2,-2.726,1.662,0.506,35,17.0,3985,47.0,64,0.49,1.672,-2.773,3,19
2877,51,-2.521,1.611,0.497,32,15.0,3990,51.0,66,0.468,1.636,-2.626,1,119
1359,4,-2.339,1.557,0.48,29,13.5,3995,54.5,68,0.453,1.591,-2.458,13,91
14963,336,-2.155,1.496,0.464,27,12.0,4000,58.25,70,0.436,1.544,-2.305,11,1049
879,7,-1.987,1.433,0.443,25,10.75,4005,62.0,72,0.419,1.492,-2.153,17,37
2819,176,-5.258,1.569,0.383,69,63.25,3910,15.25,28,0.408,1.532,-5.361,34,2761
1259,2,-5.141,1.606,0.4,68,59.25,3915,16.5,30,0.424,1.578,-5.226,9,672
2754,3,-5.011,1.642,0.415,66,55.5,3920,17.75,32,0.441,1.621,-5.086,19,1987
2651,1172,-4.89,1.672,0.436,64,51.25,3925,19.0,34,0.459,1.659,-4.942,128,1741
3682,5,-4.747,1.703,0.453,62,47.5,3930,20.5,37,0.474,1.695,-4.784,29,924
1421,4,-4.425,1.755,0.477,58,40.84,3935,24.31,41,0.493,1.752,-4.44,3,634
2844,4,-4.602,1.729,0.476,60,43.41,3940,21.94,39,0.491,1.725,-4.623,78,1330
1023,16,-4.264,1.771,0.506,55,36.5,3945,25.75,44,0.511,1.771,-4.267,9,321
11135,144,-4.081,1.784,0.515,53,33.5,3950,27.75,46,0.52,1.784,-4.081,437,2493
1024,11,-3.891,1.79,0.525,50,30.5,3955,30.0,49,0.525,1.79,-3.891,6,306
2194,51,-3.695,1.788,0.53,48,27.75,3960,32.25,52,0.53,1.788,-3.695,5,347
854,1,-3.502,1.778,0.526,45,25.5,3965,34.75,54,0.53,1.778,-3.498,6,265
3170,47,-3.3,1.76,0.527,42,23.0,3970,37.5,57,0.526,1.76,-3.301,28,594
5036,8,-3.1,1.733,0.523,40,20.75,3975,41.0,59,0.51,1.736,-3.124,9,159
3659,18,-2.903,1.699,0.515,37,18.75,3980,43.75,62,0.506,1.703,-2.925,1,517
2372,2,-2.703,1.656,0.506,34,16.75,3985,47.0,65,0.494,1.664,-2.74,3,19
2877,51,-2.511,1.607,0.493,32,15.0,3990,51.0,67,0.471,1.627,-2.592,1,119
1359,4,-2.33,1.554,0.477,29,13.5,3995,54.5,69,0.456,1.58,-2.422,13,91
14963,336,-2.147,1.493,0.46,27,12.0,4000,58.25,71,0.438,1.531,-2.267,11,1049
879,7,-1.979,1.43,0.44,25,10.75,4005,62.5,72,0.416,1.489,-2.146,17,37
1100,1,-5.375,1.528,0.371,71,66.75,3905,14.25,27,0.391,1.488,-5.477,10,979
2819,176,-5.253,1.57,0.385,69,63.0,3910,15.5,29,0.407,1.538,-5.346,34,2761
1259,2,-5.136,1.607,0.401,68,59.0,3915,16.5,30,0.426,1.58,-5.221,9,672
2754,3,-5.014,1.641,0.419,66,55.0,3920,17.75,32,0.443,1.622,-5.081,19,1987
2651,1172,-4.891,1.672,0.441,64,50.75,3925,19.25,35,0.457,1.662,-4.929,128,1741
3682,5,-4.576,1.733,0.462,60,44.24,3930,22.7,39,0.481,1.729,-4.601,29,924
1421,4,-4.757,1.7,0.464,62,46.52,3935,20.3,37,0.479,1.694,-4.783,3,634
2844,4,-4.422,1.755,0.484,58,40.25,3940,24.0,41,0.5,1.752,-4.437,78,1330
1023,16,-4.258,1.772,0.513,55,36.0,3945,26.0,44,0.509,1.772,-4.256,9,321
11135,144,-4.072,1.784,0.522,53,33.0,3950,28.0,47,0.518,1.784,-4.071,437,2493
1024,11,-3.88,1.79,0.527,50,30.25,3955,30.25,49,0.523,1.79,-3.881,6,306
2194,51,-3.684,1.787,0.532,47,27.5,3960,32.5,52,0.528,1.787,-3.687,5,347
854,1,-3.485,1.777,0.533,45,25.0,3965,35.0,54,0.528,1.777,-3.49,6,265
3170,47,-3.287,1.758,0.529,42,22.75,3970,37.75,57,0.524,1.759,-3.294,28,594
5036,8,-3.085,1.731,0.525,39,20.5,3975,41.25,59,0.508,1.735,-3.118,9,159
3659,18,-2.888,1.696,0.517,37,18.5,3980,44.5,62,0.496,1.705,-2.937,1,517
2372,2,-2.686,1.652,0.508,34,16.5,3985,47.75,64,0.484,1.667,-2.756,3,19
2877,51,-2.492,1.602,0.495,31,14.75,3990,51.25,67,0.469,1.626,-2.587,1,119
1359,4,-2.309,1.548,0.478,29,13.25,3995,55.0,69,0.451,1.582,-2.431,13,91
14963,338,-2.125,1.485,0.461,27,11.75,4000,58.75,71,0.434,1.534,-2.278,11,1049
1100,1,-5.359,1.533,0.376,71,65.75,3905,14.5,27,0.394,1.498,-5.45,10,979
2819,176,-5.236,1.575,0.39,69,62.0,3910,15.75,29,0.41,1.546,-5.318,34,2761
1259,2,-5.118,1.611,0.407,67,58.0,3915,16.75,31,0.429,1.588,-5.192,9,672
2754,3,-4.993,1.646,0.425,66,54.0,3920,18.0,33,0.446,1.629,-5.051,19,1987
2651,1172,-4.861,1.677,0.444,64,50.0,3925,19.5,35,0.461,1.668,-4.898,128,1741
3682,5,-4.544,1.737,0.466,59,43.51,3930,22.98,40,0.485,1.733,-4.567,29,924
1421,4,-4.726,1.705,0.468,62,45.75,3935,20.78,37,0.479,1.701,-4.745,3,634
2844,4,-4.392,1.757,0.492,57,39.25,3940,24.5,42,0.5,1.756,-4.398,78,1330
1023,16,-4.218,1.774,0.509,55,35.75,3945,26.25,44,0.513,1.774,-4.22,9,321
11135,144,-4.032,1.785,0.518,52,32.75,3950,28.25,47,0.522,1.785,-4.033,437,2493
1024,11,-3.842,1.789,0.523,50,30.0,3955,30.5,50,0.527,1.789,-3.841,6,306
2194,51,-3.647,1.785,0.528,47,27.25,3960,33.0,52,0.528,1.785,-3.647,5,347
854,1,-3.449,1.773,0.529,44,24.75,3965,35.5,55,0.528,1.773,-3.449,6,265
3170,47,-3.251,1.753,0.525,42,22.5,3970,38.25,58,0.524,1.753,-3.252,28,594
5036,8,-3.05,1.725,0.521,39,20.25,3975,41.75,60,0.508,1.728,-3.076,9,159
3659,18,-2.853,1.689,0.513,36,18.25,3980,45.0,62,0.496,1.696,-2.895,1,517
2372,2,-2.664,1.646,0.5,34,16.5,3985,48.25,65,0.484,1.657,-2.713,3,19
2877,51,-2.472,1.596,0.487,31,14.75,3990,52.0,67,0.466,1.617,-2.555,1,119
1359,4,-2.291,1.541,0.471,29,13.25,3995,55.75,69,0.448,1.573,-2.4,13,91
14963,338,-2.109,1.478,0.454,26,11.75,4000,59.25,71,0.433,1.519,-2.232,11,1049
1100,1,-5.327,1.544,0.371,70,66.25,3905,14.75,27,0.394,1.504,-5.434,10,979
2819,176,-5.223,1.579,0.389,69,62.0,3910,15.75,29,0.412,1.548,-5.314,34,2761
1259,2,-5.089,1.62,0.4,67,58.5,3915,17.0,31,0.428,1.592,-5.178,9,672
2754,3,-4.966,1.652,0.418,65,54.5,3920,18.25,33,0.445,1.633,-5.038,19,1987
2651,1172,-4.842,1.681,0.439,63,50.25,3925,19.5,35,0.463,1.669,-4.892,128,1741
3682,5,-4.529,1.739,0.46,59,43.77,3930,22.98,40,0.487,1.734,-4.56,29,924
1421,4,-4.709,1.709,0.463,62,45.99,3935,20.77,37,0.481,1.702,-4.739,3,634
2844,4,-4.384,1.758,0.494,57,39.0,3940,24.5,42,0.502,1.757,-4.391,78,1330
1023,16,-4.207,1.775,0.507,55,35.75,3945,26.5,45,0.511,1.775,-4.209,9,321
11135,144,-4.023,1.785,0.516,52,32.75,3950,28.5,47,0.52,1.785,-4.023,442,2493
1024,11,-3.833,1.789,0.521,49,30.0,3955,30.75,50,0.525,1.789,-3.832,6,306
2194,51,-3.638,1.785,0.526,47,27.25,3960,33.0,52,0.53,1.784,-3.635,5,347
854,1,-3.441,1.772,0.526,44,24.75,3965,35.75,55,0.526,1.772,-3.441,6,265
3170,47,-3.244,1.752,0.523,42,22.5,3970,38.5,58,0.522,1.752,-3.245,28,594
5036,8,-3.043,1.723,0.519,39,20.25,3975,41.75,60,0.51,1.726,-3.061,9,159
3659,18,-2.847,1.687,0.511,36,18.25,3980,45.0,63,0.498,1.693,-2.879,1,517
2372,2,-2.658,1.645,0.498,34,16.5,3985,48.25,65,0.486,1.653,-2.696,3,19
2877,51,-2.467,1.594,0.486,31,14.75,3990,51.75,67,0.471,1.609,-2.525,1,119
1359,4,-2.287,1.539,0.469,29,13.25,3995,55.5,69,0.452,1.563,-2.368,13,91
14963,338,-2.105,1.477,0.453,26,11.75,4000,59.0,72,0.437,1.507,-2.196,11,1049
1100,1,-5.311,1.549,0.375,70,65.25,3905,15.0,28,0.397,1.513,-5.407,10,979
2819,176,-5.188,1.589,0.389,68,61.5,3910,16.0,29,0.415,1.556,-5.285,34,2761
1259,2,-5.07,1.624,0.406,67,57.5,3915,17.25,31,0.431,1.6,-5.149,9,672
2754,3,-4.945,1.657,0.424,65,53.5,3920,18.5,33,0.448,1.64,-5.008,19,1987
2651,1172,-4.813,1.687,0.443,63,49.5,3925,20.0,36,0.463,1.677,-4.854,128,1741
3682,5,-4.5,1.743,0.467,59,42.79,3930,23.51,40,0.486,1.739,-4.522,29,924
1421,4,-4.678,1.713,0.467,61,45.22,3935,21.25,38,0.482,1.709,-4.701,3,634
2844,4,-4.346,1.761,0.494,57,38.5,3940,25.0,43,0.503,1.761,-4.352,79,1330
1023,16,-4.171,1.777,0.511,54,35.0,3945,27.0,45,0.511,1.777,-4.171,9,321
11135,144,-3.984,1.786,0.52,52,32.0,3950,29.0,48,0.52,1.786,-3.984,442,2493
1024,11,-3.792,1.788,0.525,49,29.25,3955,31.25,50,0.525,1.788,-3.792,6,306
2194,51,-3.595,1.782,0.53,46,26.5,3960,33.75,53,0.526,1.782,-3.598,5,347
